fid;arquivo;sword_node_id;sword_dist_out_original;pixels;validos;nodata;origem_x;origem_y;distancia_max_m;status;mensagem
171;62263900100101_2155911.txt;62263900100101;2155911.056410539;382;382;0;567736.0078701235;9250813.350164697;2785.8212433679228;OK;
172;62263900090811_2150109.txt;62263900090811;2150109.883233535;265;265;0;571656.0078701235;9255673.350164697;1950.1025614054251;OK;
173;62263900090561_2145106.txt;62263900090561;2145106.099435122;263;263;0;573836.0078701235;9260333.350164697;2206.3771209836273;OK;
174;62263900090321_2140316.txt;62263900090321;2140316.7979654814;277;277;0;574876.0078701235;9265143.350164697;2433.474881727773;OK;
175;62263900090271_2139323.txt;62263900090271;2139323.496344536;325;325;0;575316.0078701235;9266263.350164697;3021.05941682715;OK;
176;62263900090221_2138341.txt;62263900090221;2138341.448467455;362;362;0;575596.0078701235;9267163.350164697;3425.2737116907897;OK;
177;62263900090171_2137341.txt;62263900090171;2137341.500397945;435;435;0;575596.0078701235;9268913.350164697;3690.9077474247442;OK;
178;62263900090121_2136352.txt;62263900090121;2136352.4508636296;424;424;0;575176.0078701235;9270103.350164697;3408.005281686048;OK;
179;62263900090071_2135347.txt;62263900090071;2135347.261539309;374;374;0;574696.0078701235;9270823.350164697;3065.6973105641073;OK;
180;62263900090021_2134354.txt;62263900090021;2134354.2476610527;310;310;0;573756.0078701235;9271723.350164697;2346.5080438813757;OK;
181;62263900080561_2133331.txt;62263900080561;2133331.0129555943;341;341;0;573236.0078701235;9272663.350164697;2498.1593223811806;OK;
182;62263900080521_2132530.txt;62263900080521;2132530.305000396;366;366;0;572276.0078701235;9273433.350164697;2597.17153842406;OK;
183;62263900080301_2128160.txt;62263900080301;2128160.9566060514;607;607;0;571236.0078701235;9275873.350164697;4427.471061452576;OK;
184;62263900080061_2123388.txt;62263900080061;2123388.471136765;304;304;0;574606.0078701235;9277623.350164697;2205.5384830013736;OK;
185;62263900070501_2120455.txt;62263900070501;2120455.55332689;341;341;0;577176.0078701235;9279663.350164697;2407.093683262037;OK;
186;62263900070441_2119271.txt;62263900070441;2119271.6560607394;354;354;0;577896.0078701235;9280633.350164697;2564.156781478075;OK;
187;62263900070351_2117486.txt;62263900070351;2117486.3737290977;443;443;0;578966.0078701235;9281973.350164697;3210.763149159402;OK;
188;62263900070251_2115469.txt;62263900070251;2115469.321324333;382;382;0;580196.0078701235;9285053.350164697;3459.8410368107952;OK;
189;62263900070151_2113481.txt;62263900070151;2113481.6749386596;285;285;0;580226.0078701235;9286813.350164697;2277.71815640127;OK;
190;62263900070021_2110915.txt;62263900070021;2110915.4771209056;253;253;0;581146.0078701235;9288633.350164697;1952.255106280939;OK;
191;62263900060321_2106349.txt;62263900060321;2106349.915839651;310;310;0;583246.0078701235;9293033.350164697;2450.8161905781512;OK;
192;62263900060161_2103169.txt;62263900060161;2103169.2241193866;396;396;0;584396.0078701235;9295303.350164697;2881.423259432741;OK;
193;62263900050491_2099189.txt;62263900050491;2099189.1503811395;201;201;0;584806.0078701235;9299973.350164697;1694.4615663980107;OK;
194;62263900050291_2095218.txt;62263900050291;2095218.0829454344;280;280;0;584936.0078701235;9304333.350164697;2313.8928237928394;OK;
